work_id,title,agent_decision,human_decision,reviewer,reviewed_at,note
work_65baa7c7ae74d1b6,Correction to: Graph Matching Based Connectomic Biomarker with Learning for Brain Disorders,out_of_scope,out_of_scope,human,2026-08-24,Outside #16B: Correction to chapter; different/exclude — not a separate entry.
work_06030491fabc9e9d,Synaptic connectivity and neuronal morphology: two sides of the same coin.,adjacent_relevant,core_relevant,human,2026-08-24,Outside #12: promote to core_relevant (Neuron/Viewpoint same work).
work_2b283ee040ebe278,Single-participant structural similarity matrices lead to greater accuracy in classification of participants than function in autism in MRI,out_of_scope,out_of_scope,human,2026-08-24,Outside #19: exclude (autism structural similarity/connectivity MRI)
work_aaf052054b177d0b,Single-participant structural connectivity matrices lead to greater accuracy in classification of participants than function in autism in MRI,out_of_scope,out_of_scope,human,2026-08-24,Outside #19: exclude (autism structural similarity/connectivity MRI)
work_8ece1cf2610039aa,Vast TVB parameter space exploration: A Modular Framework for Accelerating the Multi-Scale Simulation of Human Brain Dynamics,out_of_scope,out_of_scope,human,2026-08-24,Outside #20: exclude (TVB/Virtual Brain parameter exploration)
work_afc486283cb8cf06,Vast Parameter Space Exploration of the Virtual Brain: A Modular Framework for Accelerating the Multi-Scale Simulation of Human Brain Dynamics,out_of_scope,out_of_scope,human,2026-08-24,Outside #20: exclude (TVB/Virtual Brain parameter exploration)
work_1d6b0a6f734b93f6,Diffusion MRI microstructure models with in vivo human brain Connectom data: results from a multi-group comparison,out_of_scope,out_of_scope,human,2026-08-24,Outside #21: exclude (Diffusion MRI Connectom/Connectome models)
work_cfbc6af7a02ee4ce,Diffusion MRI microstructure models with in vivo human brain Connectome data: results from a multi-group comparison,out_of_scope,out_of_scope,human,2026-08-24,Outside #21: exclude (Diffusion MRI Connectom/Connectome models)
work_5db22567ef168d09,Neuromark PET: A multivariate method for Estimating and comparing whole brain functional networks and connectomes from fMRI and PET data,out_of_scope,out_of_scope,human,2026-08-24,Outside #22: exclude (Neuromark PET / fMRI-PET connectomes)
work_ed82e6ce22ab1063,A Multivariate Method for Estimating and comparing whole brain functional connectomes from fMRI and PET data,out_of_scope,out_of_scope,human,2026-08-24,Outside #22: exclude (Neuromark PET / fMRI-PET connectomes)
work_4b09479813dc6af9,Integrated Diffusion Image Operator (iDIO): A tool for automated configuration and processing of diffusion MRI data,out_of_scope,out_of_scope,human,2026-08-24,Outside #23: exclude (iDIO diffusion MRI pipeline)
work_ff61da020434579e,Integrated diffusion image operator (iDIO): A pipeline for automated configuration and processing of diffusion MRI data,adjacent_relevant,out_of_scope,human,2026-08-24,Outside #23: exclude (iDIO diffusion MRI pipeline)
work_1af33959fd66e1b7,Cross Atlas Remapping via Optimal Transport (CAROT): Creating connectomes for any atlas when raw data is not available,out_of_scope,out_of_scope,human,2026-08-24,Outside #25: exclude (CAROT atlas remapping)
work_e634de68175b01d8,Cross Atlas Remapping via Optimal Transport (CAROT): Creating connectomes for different atlases when raw data is not available,out_of_scope,out_of_scope,human,2026-08-24,Outside #25: exclude (CAROT atlas remapping)
work_7098342a49889a23,HyperCOCO: Multi-sensory Hyper COgnitive COmputing for learning population level brain connectivity,out_of_scope,out_of_scope,human,2026-08-24,Outside #26: exclude (HyperCOCO / multi-sensory brain connectivity)
work_ff59c09784c51743,Multi-Sensory Cognitive Computing for Learning Population-level Brain Connectivity,out_of_scope,out_of_scope,human,2026-08-24,Outside #26: exclude (HyperCOCO / multi-sensory brain connectivity)
work_285cb125e7317a02,A dopamine gradient controls access to distributed working memory in the large-scale monkey cortex,out_of_scope,out_of_scope,human,2026-08-24,Outside #27: exclude (dopamine gradient working memory monkey cortex)
work_c7fd3537b5a0bd58,A dopamine gradient controls access to distributed working memory in monkey cortex,adjacent_relevant,out_of_scope,human,2026-08-24,Outside #27: exclude (dopamine gradient working memory monkey cortex)
work_641428621a155ba7,Rest-task modulation of fMRI-derived global signal topography is mediated by transient coactivation patterns,out_of_scope,out_of_scope,human,2026-08-24,Outside #28: exclude (rest-task fMRI global signal topography)
work_769d81a48cf8260b,Rest-task Modulation of fMRI-derived Global Signal Topography is Mediated by Transient Co-activation Patterns,out_of_scope,out_of_scope,human,2026-08-24,Outside #28: exclude (rest-task fMRI global signal topography)
work_b4bb2d10fc24d1ed,Contextual experience modifies functional connectome indices of topological strength and organization,out_of_scope,out_of_scope,human,2026-08-24,Outside #30: exclude (contextual experience functional connectome)
work_cb2dafb99bfb125a,Contextual experience modifies functional connectome indices of topological strength and efficiency,out_of_scope,out_of_scope,human,2026-08-24,Outside #30: exclude (contextual experience functional connectome)
work_7e4b2c83369ebdde,MLC-GCN: Multi-Level Generated Connectome Based GCN for AD Detection.,out_of_scope,out_of_scope,human,2026-08-24,Outside #31: exclude (MLC-GCN AD detection/analysis)
work_f4773848bd190dc3,MLC-GCN: Multi-Level Generated Connectome Based GCN for AD Analysis,out_of_scope,out_of_scope,human,2026-08-24,Outside #31: exclude (MLC-GCN AD detection/analysis)
work_986f902564685750,Multilayer Network Analysis across Cortical Depths in Resting-State 7T fMRI,out_of_scope,out_of_scope,human,2026-08-24,Outside #34: exclude (multilayer network analysis cortical depths 7T fMRI)
work_9e5e8182976fb305,Multilayer network analysis across cortical depths in 7-T resting-state fMRI,out_of_scope,out_of_scope,human,2026-08-24,Outside #34: exclude (multilayer network analysis cortical depths 7T fMRI)
work_93c13caad9edaccc,Multi-scale Imaging Reveals Aberrant Connectome Organization and Elevated Dorsal Striatal Arc Expression in Advanced Age,out_of_scope,out_of_scope,human,2026-08-24,Outside #35: exclude (multiscale imaging aberrant connectome / Arc expression)
work_b5c0a8ca7066f53d,Multiscale Imaging Reveals Aberrant Functional Connectome Organization and Elevated Dorsal Striatal Arc Expression in Advanced Age,out_of_scope,out_of_scope,human,2026-08-24,Outside #35: exclude (multiscale imaging aberrant connectome / Arc expression)
work_3e71b715500e58e1,Disrupted structural connectivity in Pediatric Bipolar Disorder,out_of_scope,out_of_scope,human,2026-08-24,Outside #36: exclude (disrupted structural connectivity pediatric bipolar)
work_aa5da09964e44de0,Disrupted brain structural connectivity in Pediatric Bipolar Disorder with psychosis,out_of_scope,out_of_scope,human,2026-08-24,Outside #36: exclude (disrupted structural connectivity pediatric bipolar)
work_f8739c640723faef,Active Zone Scaffold Protein Ratios Tune Functional Diversity across Brain Synapses,adjacent_relevant,out_of_scope,human,2026-08-24,Active-zone BRP/Syd-1 scaffold ratios via super-resolution and electrophysiology; not wiring-graph reconstruction.
work_d26d9182a414bd2a,Microglia Sculpt Postnatal Neural Circuits in an Activity and Complement-Dependent Manner,out_of_scope,out_of_scope,human,2026-08-24,Microglia complement-dependent synaptic pruning; not wiring-graph reconstruction. Confirm v3 out_of_scope; drop from v2-inclusive PDF union.
work_f63626acdc2a824d,Transcriptional Architecture of Synaptic Communication Delineates GABAergic Neuron Identity,adjacent_relevant,out_of_scope,human,2026-08-24,GABAergic synaptic gene architecture; not wiring-graph connectomics.
work_f05ae9242fd4831a,Intracortical circuits of pyramidal neurons reflect their long-range axonal targets,out_of_scope,out_of_scope,human,2026-08-24,Paired electrophysiology of pyramidal connectivity; not EM wiring reconstruction. Confirm v3 out_of_scope; drop from v2-inclusive PDF union.
work_d5e1b0131873ced9,Ig Superfamily Ligand and Receptor Pairs Expressed in Synaptic Partners in Drosophila,adjacent_relevant,out_of_scope,human,2026-08-24,Human exclude: molecular IgSF ligand/receptor pairs in synaptic partners; not wiring-graph connectomics.
work_eca45c763eccfd83,FluoRender: An Application of 2D Image Space Methods for 3D and 4D Confocal Microscopy Data Visualization in Neurobiology Research,role_bridge,out_of_scope,human,2026-08-24,Human exclude: confocal visualization tool (FluoRender); not wiring-graph connectomics.
work_e856a295719c4ded,Sleep Need-Dependent Changes in Functional Connectivity Facilitate Transmission of Homeostatic Sleep Drive,adjacent_relevant,out_of_scope,human,2026-08-24,"Fly sleep-circuit electrophysiology guided by connectome; functional connectivity / homeostatic sleep drive, not wiring-graph reconstruction."
work_ac95c5db570e537d,Nonsynaptic encoding of behavior by neuropeptides,adjacent_relevant,out_of_scope,human,2026-08-24,Perspective on neuropeptide/hormone encoding vs synaptic wiring diagrams; not wiring-graph reconstruction.
work_de20638f0362eefe,State‐of‐the‐Art in GPU‐Based Large‐Scale Volume Visualization,role_bridge,out_of_scope,human,2026-08-24,"GPU volume-visualization survey; general graphics, not wiring-graph connectomics."
work_d1a762e3951fc6e7,Neural connectivity predicts spreading of alpha-synuclein pathology in fibril-injected mouse models: Involvement of retrograde and anterograde axonal propagation,adjacent_relevant,out_of_scope,human,2026-08-24,Alpha-synuclein pathology spread via mesoscale mouse connectivity; not wiring-graph reconstruction.
work_8ede3e7c6a628ca6,Interactive Volumetric Visual Analysis of Glycogen‐derived Energy Absorption in Nanometric Brain Structures,adjacent_relevant,out_of_scope,human,2026-08-24,EM volume visualization for glycogen/neuroenergetics; not wiring-graph reconstruction.
work_39c260e37ed45039,The structure of the nervous system of the nematode Caenorhabditis elegans,,core_relevant,human,2026-08-25,Human seed: White et al. 1986 worm connectome missing from frozen discovery (Helmstaedter 2025 NRN coverage).
work_21c10d8f3b695a0c,Serial Block-Face Scanning Electron Microscopy to Reconstruct Three-Dimensional Tissue Nanostructure,,core_relevant,human,2026-08-25,Human seed: Denk & Horstmann 2004 SBF-SEM missing from frozen discovery (Helmstaedter 2025 NRN coverage).
work_ab4936e9fe95de49,Saturated Reconstruction of a Volume of Neocortex,,core_relevant,human,2026-08-25,Human seed: Kasthuri 2015 saturated neocortex reconstruction missing from frozen discovery (Helmstaedter 2025 NRN coverage).
work_5c2378945eccb27f,Connectomic reconstruction of the inner plexiform layer in the mouse retina,,core_relevant,human,2026-08-25,Human seed: Helmstaedter 2013 retina IPL paper; corpus previously had only the 2014 erratum.
work_3cf844f488b27a48,Wiring specificity in the direction-selectivity circuit of the retina,,core_relevant,human,2026-08-25,Human seed: Briggman 2011 retinal direction-selectivity wiring missing from frozen discovery (Helmstaedter 2025 NRN coverage).
work_7b437ce3ba4d27c5,High-precision automated reconstruction of neurons with flood-filling networks,,core_relevant,human,2026-08-25,Human seed: Januszewski flood-filling networks missing from frozen discovery (Helmstaedter 2025 NRN coverage).
work_cf9199d8b0ccf668,High-accuracy neurite reconstruction for high-throughput neuroanatomy,,core_relevant,human,2026-08-25,Human seed: Helmstaedter 2011 KNOSSOS/RESCOP methods paper missing from frozen discovery (Helmstaedter 2025 NRN coverage).
work_a83752a657d4ec4e,Space-time wiring specificity supports direction selectivity in the retina,,core_relevant,human,2026-08-25,Human seed: Kim/EyeWirers 2014 space-time wiring paper missing from frozen discovery (Helmstaedter 2025 NRN coverage).
