work_id,title,decision,n_authors,consortium_middle_count
work_36602f0170e09b02,A Drosophila computational brain model reveals sensorimotor processing,core_relevant,27,25
work_7a79d9fb47ef2201,Current Progress and Challenges in Large-Scale 3D Mitochondria Instance Segmentation,role_bridge,27,25
work_03f185e6c6909898,"Integrative analysis of single-neuron projectomes links connectome, transcriptome, and function in the mouse cortex.",adjacent_relevant,26,24
work_aa4ac55bf3d997c2,The Mind of a Mouse.,adjacent_relevant,25,23
work_31d1fee6f2ffabfe,The connectome of the adult Drosophila mushroom body provides insights into function,core_relevant,25,23
work_7fd39b6d64027898,SmartEM: machine-learning guided electron microscopy,core_relevant,24,22
work_3beb8aa4ca1a3268,Developmental Connectomics of the Mouse Cerebellum,adjacent_relevant,24,22
work_5ad30986684078d8,A High-Performance Computing Portal Applied to 3D Electron Microscopy,role_bridge,24,22
work_2547e9b9bab8dbf7,Histopathological and ultrastructural changes in different cell types during ischemic and hemorrhagic stroke.,role_bridge,24,22
work_403be6bf6a79f219,"Human Connectome Project Informatics: quality control, database services, and data visualization",role_bridge,24,22
work_56c6cf090809380d,The Nereid on the rise: Platynereis as a model system,adjacent_relevant,24,22
work_0c62223b980049c1,The connectome of the adult Drosophila mushroom body: implications for function,core_relevant,24,22
work_087e18b9051261d3,A visual motion detection circuit suggested by Drosophila connectomics,core_relevant,24,22
work_047e0665d50b50ba,Crowdsourcing the creation of image segmentation algorithms for connectomics,core_relevant,24,22
work_43f9348b8e8dc3dc,Neuron-specific signatures in the chromosomal connectome associated with schizophrenia risk,adjacent_relevant,24,22
work_8cba212f6e7b83ad,A Complete Electron Microscopy Volume of the Brain of Adult Drosophila melanogaster,core_relevant,23,21
work_ab693beb93fb50a7,Molecular topography of an entire nervous system,adjacent_relevant,23,21
work_b0ddf4ae8c7faf63,Neurotransmitter classification from electron microscopy images at synaptic sites in Drosophila melanogaster,core_relevant,23,21
work_e3277619bfed476c,Mapping brain asymmetry in health and disease through the ENIGMA consortium,role_bridge,22,20
work_e38ae195f332be66,Mapping of Neuronal and Glial Primary Cilia Contactome and Connectome in the Human Cerebral Cortex,core_relevant,22,20
work_c92a0fc5d845cc35,A scalable and modular automated pipeline for stitching of large electron microscopy datasets,core_relevant,22,20
work_63ec5ea7fbf83d9e,Comparisons between the ON- and OFF-edge motion pathways in the Drosophila brain,core_relevant,22,20
work_2023cc62cedb365a,Cross-modal coherent registration of whole mouse brains,adjacent_relevant,22,20
work_6d7152bc3042d92f,Correlative three-dimensional super-resolution and block face electron microscopy of whole vitreously frozen cells,role_bridge,22,20
work_52349a07a8609609,Regional and cell-type-specific afferent and efferent projections of the mouse claustrum,adjacent_relevant,22,20
work_1f2d549356fe466e,Systematic annotation of a complete adult male Drosophila nerve cord connectome reveals principles of functional organisation,core_relevant,22,20
work_234f011d0b64af9d,Scalable volumetric imaging for ultrahigh-speed brain mapping at synaptic resolution,adjacent_relevant,22,20
work_ab4936e9fe95de49,Saturated Reconstruction of a Volume of Neocortex,core_relevant,21,19
work_85e90cad98b9be25,Neural circuit basis of aversive odour processing in Drosophila from sensory input to descending output,core_relevant,21,19
work_783a1dd4e73fe636,Multiplexed volumetric CLEM enabled by scFvs provides insights into the cytology of cerebellar cortex,adjacent_relevant,21,19
work_d2c3bba07feec3fd,Buried Treasure? Overlooked and Newly Discovered Evolutionary Contributions to Human Brain Diseases,role_bridge,21,19
work_5f55fd6af01886b4,Uncovering Sex Differences in the Drosophila Ventral Nerve Cord Through Connectome Alignment,core_relevant,21,19
work_a83aea2e5aec23bc,Mapping Alzheimer’s Molecular Pathologies in Large-Scale Connectomics Data: A Publicly Accessible Correlative Microscopy Resource,core_relevant,21,19
work_2f671ade1d1c2e2c,Sexually-dimorphic neurons in the Drosophila whole-brain connectome,core_relevant,21,19
work_06a819921125fd5b,The complete connectome of a learning and memory centre in an insect brain,core_relevant,20,18
work_fc8b4c576ab75783,Molecular Architecture of the Mouse Nervous System,adjacent_relevant,20,18
work_161efa6714c403ba,ConnectomeDB – Sharing Human Brain Connectivity Data,role_bridge,20,18
work_aebd692d3a9ff7ca,Connectomic Deep Brain Stimulation for Obsessive-Compulsive Disorder.,role_bridge,20,18
work_2f968b5df6b0dd3d,The connectome of an insect brain,core_relevant,20,18
work_d8b2bfa158091c64,"Exploiting large neuroimaging datasets to create connectome-constrained approaches for more robust, efficient, and adaptable artificial intelligence",role_bridge,20,18
work_d877a14b14e535c5,Brain network dynamics determine tau presence while regional vulnerability governs tau load in Alzheimer’s disease,adjacent_relevant,20,18
work_8fd725d2118803e2,A petascale automated imaging pipeline for mapping neuronal circuits with high-throughput transmission electron microscopy,core_relevant,20,18
work_da35586ff18e6e97,The Open Connectome Project Data Cluster: Scalable Analysis and Vision for High-Throughput Neuroscience,role_bridge,20,18
