work_id,year,decision,ref_check,verified_outbound_links,final_disposition,title
work_473c2b2f7d586069,2015.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),Cerebral cartography and connectomics
work_47806917552684d8,2011.0,role_bridge,verified,0,resolved: verified zero outbound links,The retinal hypercircuit: a repeating synaptic interactive motif underlying visual function
work_47ccbd8bc04d1dc3,2015.0,core_relevant,not-in-s2,,unresolved (not-in-s2),Image Segmentation by Size-Dependent Single Linkage Clustering of a Watershed Basin Graph
work_484939fab9ad128d,2023.0,role_bridge,verified,3,resolved: linked to graph,Neural dynamics and architecture of the heading direction circuit in zebrafish
work_48cfa5f3aa4b5d20,2021.0,adjacent_relevant,verified,7,resolved: linked to graph,Sex-specific topology of the nociceptive circuit shapes dimorphic behavior in C. elegans
work_4a8c664faa8c1c13,2016.0,adjacent_relevant,verified,1,resolved: linked to graph,The Brain in Space
work_4ab664454d56c724,2020.0,core_relevant,verified,7,resolved: linked to graph,Toward an Automated HPC Pipeline for Processing Large Scale Electron Microscopy Data
work_4c48150f43cdafa3,2025.0,adjacent_relevant,verified,3,resolved: linked to graph,Reconstruction of Single-Neuron Projectomes in Mice
work_4c57aec0d5a67e11,2014.0,adjacent_relevant,verified,2,resolved: linked to graph,Polarity-specific high-level information propagation in neural networks
work_4cb5df5727006bd0,2017.0,adjacent_relevant,verified,5,resolved: linked to graph,Digital tissue and what it may reveal about the brain
work_4cd80a02170f62bd,2026.0,core_relevant,verified,2,resolved: linked to graph,Energy-efficient information processing and eligibility-trace plasticity in the Drosophila optic lobe connectome
work_4cf725eac3b48f0e,2014.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),"Wiring patterns in the mouse retina: collecting evidence across the connectome, physiology and light microscopy"
work_4d0bb2dac32d5f80,2024.0,role_bridge,verified,5,resolved: linked to graph,Clinical parameters affect the structure and function of superficial pyramidal neurons in the adult human neocortex
work_4d5f8126d96042c6,2015.0,role_bridge,refs-elided-or-none,,unresolved (refs-elided-or-none),Resting-state functional connectivity in major depressive disorder: A review.
work_4e304075a32337e8,2020.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),Deep multilevel contextual networks for biomedical image segmentation
work_4eaf3f68c7cc6dce,2018.0,adjacent_relevant,verified,6,resolved: linked to graph,Spatiotemporal ontogeny of brain wiring
work_4fe68bf7b16d89dc,2021.0,adjacent_relevant,verified,16,resolved: linked to graph,The nonhuman primate neuroimaging and neuroanatomy project
work_502f3fcda5afe2ef,2023.0,adjacent_relevant,verified,2,resolved: linked to graph,Exercise alters cortico-basal ganglia network functional connectivity: A mesoscopic level analysis informed by anatomic 
work_5045439101c78123,2013.0,adjacent_relevant,verified,2,resolved: linked to graph,Analyzing the structure and function of neuronal circuits in zebrafish
work_505838ecf6e68bb5,2023.0,adjacent_relevant,verified,4,resolved: linked to graph,Neural-circuit basis of song preference learning in fruit flies
work_50d091001b66a2d0,2025.0,adjacent_relevant,verified,16,resolved: linked to graph,Scaling up X-ray holographic nanotomography for neuronal tissue imaging
work_50ff4d262c166d92,2019.0,role_bridge,refs-elided-or-none,,unresolved (refs-elided-or-none),Culling for Extreme-Scale Segmentation Volumes: A Hybrid Deterministic and Probabilistic Approach
work_510f1f5d7f3a7c0c,2022.0,role_bridge,refs-elided-or-none,,unresolved (refs-elided-or-none),Multiscale imaging informs translational mouse modeling of neurological disease.
work_513dc388c55b10f8,2018.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),Caenorhabditis elegans excitatory ventral cord motor neurons derive rhythm for body undulation
work_51a3a4f48b8908a3,2023.0,role_bridge,verified,11,resolved: linked to graph,Fast Compressed Segmentation Volumes for Scientific Visualization
work_52349a07a8609609,2023.0,adjacent_relevant,verified,5,resolved: linked to graph,Regional and cell-type-specific afferent and efferent projections of the mouse claustrum
work_52b939fbc87f459e,2025.0,adjacent_relevant,not-in-s2,,unresolved (not-in-s2),Fluctuation-dissipation of the Kuramoto model on fruit-fly connectomes
work_5304e37cc665ceab,2023.0,adjacent_relevant,verified,14,resolved: linked to graph,Domain Adaptive Synapse Detection with Weak Point Annotations
work_5358e3a3d6b06625,2025.0,role_bridge,verified,4,resolved: linked to graph,Ce -NeRV3D - a C. elegans Neuron RNA-seq Visualization tool in 3D
work_541335ae5cacedf3,2018.0,adjacent_relevant,verified,4,resolved: linked to graph,Sizing complex networks
work_54b48e88cbc2ee28,2021.0,role_bridge,verified,6,resolved: linked to graph,High-precision targeting workflow for volume electron microscopy
work_55a637a99f2abc58,2024.0,adjacent_relevant,verified,10,resolved: linked to graph,vEMstitch: an algorithm for fully automatic image stitching of volume electron microscopy
work_5646fd682952c8b6,2016.0,role_bridge,verified,2,resolved: linked to graph,A Large Deformation Diffeomorphic Approach to Registration of CLARITY Images via Mutual Information
work_5672c64d21c23a39,2024.0,role_bridge,verified,0,resolved: verified zero outbound links,Updates on mouse models of Alzheimer’s disease
work_570ccc0ab045e65e,2012.0,adjacent_relevant,verified,4,resolved: linked to graph,Comprehensive connectivity of the mouse main olfactory bulb: analysis and online digital atlas
work_576d4811bf1e3849,2025.0,role_bridge,verified,7,resolved: linked to graph,Universal consensus 3D segmentation of cells from 2D segmented stacks
work_58718abbeb7e6146,2024.0,role_bridge,verified,18,resolved: linked to graph,Sparse Annotation is Sufficient for Bootstrapping Dense Segmentation
work_58719b3caaf87f3c,2026.0,role_bridge,verified,6,resolved: linked to graph,A Systematic Study of Behavioral Cloning for Scientific Data Annotation
work_593e9ed3ab744e30,2020.0,adjacent_relevant,verified,0,resolved: verified zero outbound links,Axo-axonic Synapses: Diversity in Neural Circuit Function
work_59c99b603e8a4641,2015.0,adjacent_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),Connectome of the fly visual circuitry.
work_5a217fc9180eb033,2023.0,adjacent_relevant,verified,3,resolved: linked to graph,Long-range connectome of pyramidal neurons in the sensorimotor cortex
work_5a544ca02f2eeb6f,2022.0,role_bridge,verified,19,resolved: linked to graph,Research trends and hotspots on connectomes from 2005 to 2021: A bibliometric and latent Dirichlet allocation applicatio
work_5ad30986684078d8,2026.0,role_bridge,verified,5,resolved: linked to graph,A High-Performance Computing Portal Applied to 3D Electron Microscopy
work_5cacc375519272f8,2017.0,adjacent_relevant,verified,1,resolved: linked to graph,Functional Connectomics from Data: Probabilistic Graphical Models for Neuronal Network of C. elegans
work_5ef81a0210f02d50,2024.0,core_relevant,verified,16,resolved: linked to graph,Tracing nerve fibers with volume electron microscopy to quantitatively analyze brain connectivity
work_5fce6ceceeaa09c7,2016.0,core_relevant,refs-elided-or-none,,unresolved (refs-elided-or-none),Comparative Connectomics.
work_603f7f3189279d00,2021.0,adjacent_relevant,verified,3,resolved: linked to graph,Avian pallial circuits and cognition: A comparison to mammals.
work_61ced5e9670903c3,2010.0,adjacent_relevant,verified,1,resolved: linked to graph,Automated Reconstruction of Neuronal Morphology: An Overview
work_6212be61070586b3,2012.0,adjacent_relevant,verified,9,resolved: linked to graph,From functional architecture to functional connectomics
work_62b57eb8352efa0c,2026.0,adjacent_relevant,verified,8,resolved: linked to graph,Precise kinematic and muscle recording in freely behaving flies enabled by closed-loop tracking and annotation-free pose
work_6372283e97fc942b,2019.0,role_bridge,refs-elided-or-none,,unresolved (refs-elided-or-none),Microstructure-Informed Connectomics: Enriching Large-Scale Descriptions of Healthy and Diseased Brains
work_638148a6bb51d092,2020.0,core_relevant,verified,5,resolved: linked to graph,Proposal-Free Volumetric Instance Segmentation from Latent Single-Instance Masks
work_641578dd51d3aa3a,2020.0,adjacent_relevant,not-in-s2,,unresolved (not-in-s2),Graph Signal Processing of Indefinite and Complex Graphs using Directed Variation
work_64c06ffb8fbbfee6,2024.0,adjacent_relevant,verified,13,resolved: linked to graph,Wrapped up: advancements in volume electron microscopy and application in myelin research
work_651457fdb2bf9ce4,2022.0,role_bridge,verified,1,resolved: linked to graph,EMPIAR: the Electron Microscopy Public Image Archive
work_6779fed0fab266f1,2026.0,adjacent_relevant,verified,3,resolved: linked to graph,Topological Sensitivity in Connectome-Constrained Neural Networks
work_6793e5e1077fc6ef,2012.0,adjacent_relevant,verified,3,resolved: linked to graph,The Intrinsic Connectome of the Rat Amygdala
work_679e6fe231f7c345,2013.0,role_bridge,verified,2,resolved: linked to graph,Connectomics and epilepsy
work_67af47ece63db8f0,2020.0,adjacent_relevant,verified,9,resolved: linked to graph,Microtubule Tracking in Electron Microscopy Volumes
work_67d70830cad7154c,2020.0,role_bridge,verified,3,resolved: linked to graph,Graphical-model framework for automated annotation of cell identities in dense cellular images
