work_id,year,stage_tags,title
work_67af47ece63db8f0,2020.0,graph_analysis,Microtubule Tracking in Electron Microscopy Volumes
work_6892183b6e8966a6,2018.0,graph_analysis,Topology of the mesoscale connectome of the mouse brain
work_68b4bcecab20e9f8,2022.0,,Fast z-focus controlling and multiplexing strategies for multiplane two-photon imaging of neural dynamics.
work_69eab38f3c80cc87,2013.0,,Mapping mammalian synaptic connectivity
work_6a0535f78a5e6555,2024.0,graph_analysis;infrastructure,"The meso-connectomes of mouse, marmoset, and macaque: network organization and the emergence of higher cognition"
work_6b1e50c7fd263430,2026.0,,Deciphering intercellular communication in the cerebellar external granule layer: Insights into non-classical connections in neura
work_6bd814770dd59274,2020.0,,"Astroglia-specific contributions to the regulation of synapses, cognition and behaviour."
work_6bef1584a99628b5,2016.0,graph_analysis;infrastructure,A Multicore Path to Connectomics-on-Demand
work_6c644898f337026e,2020.0,,Cellular and circuit mechanisms of olfactory associative learning in Drosophila
work_700ac102f4fb80b1,2025.0,infrastructure;modeling,"How tp1, an indirect wing steering muscle, stabilizes Drosophila’s flight"
work_701eda426af92362,2017.0,graph_analysis,Versatility of nodal affiliation to communities
work_71dbb3089cc06ddf,2024.0,modeling,A Differentiable Approach to Multi-scale Brain Modeling
work_7216e2255c3134f7,2018.0,graph_analysis,On Estimation and Inference in Latent Structure Random Graphs
work_7225417aa5d4c255,2018.0,,Emergence of V1 connectivity pattern and Hebbian rule in a performance-optimized artificial neural network
work_7277de2c14cca629,2025.0,,Anti-diuretic hormone ITP signals via a guanylate cyclase receptor to modulate systemic homeostasis in Drosophila
work_7599ba180a4cf46f,2024.0,graph_analysis;modeling,Centralized brain networks underlie body part coordination during grooming
work_75ab574f93891fc1,2022.0,graph_analysis;infrastructure;modeling,Brain chains as topological signatures for Alzheimer’s disease
work_75f60831e1632c27,2019.0,,Feedforward Thalamocortical Connectivity Preserves Stimulus Timing Information in Sensory Pathways
work_76cf86007e3f5baf,2025.0,graph_analysis;infrastructure,Visualizing Drosophila connectome with multiview light-sheet macrophotography and iterative expansion microscopy
work_773cdf88a2616296,2025.0,modeling,Multiscale brain modeling: bridging microscopic and macroscopic brain dynamics for clinical and technological applications
work_7761782e46e5beac,2022.0,graph_analysis;infrastructure;modeling,Statistical perspective on functional and causal neural connectomics: The Time-Aware PC algorithm
work_7a1562d871a3be12,2019.0,graph_analysis,The human connectome from an evolutionary perspective.
work_7a4e052848e9ed49,2024.0,graph_analysis;modeling,Directed and acyclic synaptic connectivity in the human layer 2-3 cortical microcircuit
work_7a9ee048a1e92b21,2025.0,,"An integrated anatomical, functional and evolutionary view of the Drosophila olfactory system"
work_7aea9f3f486f8e03,2021.0,graph_analysis,Whole-Brain Reconstruction of Neurons in the Ventral Pallidum Reveals Diverse Projection Patterns
work_7b3b7858df07f36b,2014.0,modeling,"Physics, emergence, and the connectome."
work_7b69c0d654c6eb2e,2002.0,,Geometry and structural plasticity of synaptic connectivity.
work_7c0b6a0c16147a76,2025.0,,Direct dependencies between neurons explain activity
work_7c6166a6cee7212b,2024.0,graph_analysis;infrastructure,High-Complexity Barcoded Rabies Virus for Scalable Circuit Mapping Using Single-Cell and Single-Nucleus Sequencing
work_7c688ddd3be395b9,2021.0,,A historical perspective on training students to create standardized maps of novel brain structure: Newly-uncovered resonances bet
work_7d1ccb8d643fe44b,2013.0,graph_analysis;infrastructure,Computing scalable multivariate glocal invariants of large (brain-) graphs
work_7d516680b10a2d2b,2013.0,,Mapping Connectivity in the Developing Brain
work_7dd7962792f95bf5,2024.0,,Volume Electron Microscopy for Genetically and Molecularly Defined Neural Circuits.
work_7e2f34287e7eb3ad,2021.0,,Developmental mechanisms underlying circuit wiring: Novel insights and challenges ahead
work_7ea8cdfa5d969915,2022.0,,Astrocyte-neuron crosstalk through Hedgehog signaling mediates cortical synapse development
work_7f99dc37a1c7d869,2025.0,,The many lives of an oligodendrocyte precursor cell
work_7fc3e9d7cd85be30,2026.0,graph_analysis,Bridging the microstructural gap in human connectomics using hierarchical phase-contrast tomography as a reference for diffusion M
work_81c0fdc6a538cfed,2014.0,,Mapping circuits beyond the models: integrating connectomics and comparative neuroscience.
work_82ea545966f8fa3e,2016.0,graph_analysis,Modern Methods for Interrogating the Human Connectome
work_82ff9898cca049ee,2020.0,graph_analysis;modeling,Persistence of hierarchical network organization and emergent topologies in models of functional connectivity
work_8470676def87adc9,2026.0,graph_analysis,POINTseq: cell-type-specific barcoding reveals single-cell projection architecture of the mouse dopaminergic system
work_84abe72fb4e55607,2020.0,infrastructure,Network neuroscience and the connectomics revolution
work_853362dc6ff9c35b,2025.0,,Key Connectomes and Synaptic‐Compartment‐Specific Risk Genes Drive Pathological α‐Synuclein Spreading
work_853a67f3b3bce4e6,2018.0,,Preparation of Acute Brain Slices Using an Optimized N-Methyl-D-glucamine Protective Recovery Method
work_85df1ad0a08ba192,2023.0,graph_analysis;infrastructure,Brain connectomics: time for a molecular imaging perspective?
work_861d13773b8b6e2d,2019.0,graph_analysis;modeling,A Brief History of Simulation Neuroscience
work_87c076771ae6ecb0,2025.0,modeling,Brain connectivity drives tau presence while regional vulnerability drives tau load in Alzheimer's disease
work_885fd04a0c9e3cfa,2026.0,graph_analysis;infrastructure;modeling,DigiMus: a connectome-informed spiking framework for multi-region mouse neural-behavior modeling
work_88ba0a670054d7b9,2009.0,,The Fragile X Mental Retardation Protein in Circadian Rhythmicity and Memory Consolidation
work_894a7ff84d58ec7c,2021.0,,Synaptogenic activity of the axon guidance molecule Robo2 underlies hippocampal circuit function
work_8c552c741c234d42,2026.0,graph_analysis,Partners in plasticity: serotonergic glial interactions in brain circuit remodeling
work_8d04af73e3e2c144,2023.0,,Asymmetric Presynaptic Depletion of Dopamine Neurons in a Drosophila Model of Parkinson’s Disease
work_8d259f8c6f69999e,2016.0,,Advanced Fluorescence Protein-Based Synapse-Detectors
work_8d553c90fb7e2b6e,2022.0,graph_analysis,LRRTM3 regulates activity-dependent synchronization of synapse properties in topographically connected hippocampal neural circuits
work_8ef597d9b53d5869,2022.0,,Future Directions for Chemosensory Connectomes: Best Practices and Specific Challenges
work_8f2d73f1d0e0367a,2025.0,,Four neurons pattern brain-wide developmental activity through neuropeptide signaling
work_92a24ba81c8e5978,2017.0,,Mapping the connectome in awake surgery for gliomas: an update.
work_9388ccb7e7e830c1,2021.0,,Confocal Bessel Beam Light-sheet and Expansion Microscopy for Axonal Connectomics of Mammalian Brains
work_971a4ba72345218e,2026.0,graph_analysis;modeling,Inferring state-dependent functional circuit motifs using higher-order interactions analysis
work_97f41e44e771df3f,2022.0,graph_analysis,Simplex Closing Probabilities in Directed Graphs
work_97f48fe8229c5ca1,2024.0,,Future avenues in Drosophila mushroom body research
work_9ca6628105d0c4ad,2023.0,,Technical report: surgical preparation of human brain tissue for clinical and basic research
work_9ca8460cc0327e9f,2020.0,infrastructure,Brain Connectomes Come of Age
work_9f1fa6649aef5d3c,2025.0,graph_analysis;infrastructure;modeling,Organization and Community Usage of a Neuron Type Circuitry Knowledge Base of the Hippocampal Formation
work_a1d7f92d9b93910a,2025.0,,Synaptic connectivity mapping among thousands of neurons via parallelized intracellular recording with a microhole electrode array
work_a23fdbf1a9ce14a7,2020.0,graph_analysis,Anatomy of nerve fiber bundles at micrometer-resolution in the vervet monkey visual system
work_a276a8f78d1e7711,2023.0,graph_analysis,Integrating multimodal and multiscale connectivity blueprints of the human cerebral cortex in health and disease
work_a35b2a0f4328b341,2017.0,,Skull optical clearing window for in vivo imaging of the mouse cortex at synaptic resolution
work_a57783ce23fca41d,2025.0,graph_analysis;infrastructure,Controllability analysis of macaque structural connectome from an edge centric perspective
work_a5a5a1b66ee789bc,2021.0,graph_analysis,Topographic connectivity and cellular profiling reveal detailed input pathways and functionally distinct cell types in the subthal
work_a8301f93442a5582,2021.0,graph_analysis;infrastructure;modeling,Subgraph nomination: query by example subgraph retrieval in networks
work_a8500957e8164024,2026.0,graph_analysis;infrastructure;modeling,Heterogeneous synaptic motifs bridge microscale structure and macroscale nonlinear dynamics
work_a900dd5838645dcc,2018.0,graph_analysis,Preserved Structural Network Organization Mediates Pathology Spread in Alzheimer’s Disease Spectrum Despite Loss of White Matter T
work_a9283c4cc9510a89,2023.0,,Cellular and laminar architecture: A short history and commentary
work_aaa2b75389c9ea4f,2025.0,,Directionality bias underpins divergent spatiotemporal progression of Alzheimer‐related tauopathy in mouse models
work_ab5ed7d2da38a631,2018.0,graph_analysis;infrastructure,From Matrices to Knowledge: Using Semantic Networks to Annotate the Connectome
work_ab6296b9c563d6c0,2025.0,graph_analysis;infrastructure,Restoring Network Evolution from Static Structure
work_adc47fb958b56981,2025.0,graph_analysis,Flexible Steering and Conflict Resolution: Pro-Goal/Anti-Goal Gating in Drosophila Lateral Accessory Lobes
work_af073d72321fd44f,2024.0,graph_analysis,AD Pathology Spreading Detection Using Directional Motifs in Brain Connectomes
work_aff22bed5643522c,2017.0,graph_analysis,Multi-transmitter neurons in the mammalian central nervous system
work_b0f78721c583f805,2024.0,,New rabies viral resources for multi-scale neural circuit mapping
work_b53d942937a15cc8,2021.0,,Brain injury environment critically influences the connectivity of transplanted neurons
work_b615c7f2d7acb6f5,2021.0,,Anatomical and functional connectomes underlying hierarchical visual processing in mouse visual system
work_b690ec4d0c358a16,2008.0,modeling,"The Neuroanatomist's Dream, the Problems and Solutions, and the Ultimate Aim"
work_b6c3b27d69c61fa3,2017.0,graph_analysis,Label-free volumetric optical imaging of intact murine brains
work_b833458e7c3a0bc0,2021.0,graph_analysis;infrastructure,Statistical Perspective on Functional and Causal Neural Connectomics: A Comparative Study
work_b8ad6936479c6e73,2022.0,,Genetically encoded sensors for analysing neurotransmission among synaptically-connected neurons
work_b8d5a00c3d287d93,2021.0,graph_analysis,Dense functional and molecular readout of a circuit hub in sensory cortex
work_ba33cffaec20fe30,2020.0,,Dopamine neuron synaptic connectivity defines physiological striatal domains
work_bb2d4b0826e2349f,2016.0,graph_analysis,Discovering and deciphering relationships across disparate data modalities
work_bbba095fdc38c6d5,2020.0,,SEQUIN multiscale imaging of mammalian central synapses reveals loss of synaptic connectivity resulting from diffuse traumatic bra
work_bde35d55d50cc5b1,2021.0,,Determinants of functional synaptic connectivity among amygdala-projecting prefrontal cortical neurons in male mice
work_c0a8bda8715ea8bf,2021.0,,Hippocampal and thalamic afferents form distinct synaptic microcircuits in the mouse frontal cortex
work_c100d45c17eea38c,2024.0,graph_analysis;infrastructure,VF2-PS: Parallel and Scalable Subgraph Monomorphism in Arachne
work_c2676d5e17644f9a,2019.0,,Synaptic Connectivity and Cortical Maturation Are Promoted by the ω-3 Fatty Acid Docosahexaenoic Acid.
work_c2b70a013a556fea,2009.0,,Activity-Dependent Modulation of Neural Circuit Synaptic Connectivity
work_c2e4c49bfa73df15,2025.0,infrastructure,A Network of Biologically Inspired Rectified Spectral Units (ReSUs) Learns Hierarchical Features Without Error Backpropagation
work_c3b0d29497a3dbf7,2009.0,modeling,Reconstruction of Sparse Circuits Using Multi-neuronal Excitation (RESCUME)
work_c5d4203ffdbb350d,2019.0,,Multiplexed peroxidase-based electron microscopy labeling enables simultaneous visualization of multiple cell types
work_c5ff70e75a7e41e0,2024.0,graph_analysis;infrastructure;modeling,The Syncytial Mesh Model: A Mesoscale Control-Field Framework for Scale-Dependent Coherence in the Brain
work_c69a828cba4d708c,2021.0,,Multi-Scale Light-Sheet Fluorescence Microscopy for Fast Whole Brain Imaging
work_c75e4516d8791df4,2015.0,,Large-scale imaging in small brains
work_c9424ed42c88b962,2025.0,graph_analysis;infrastructure,Stochastic activity in low-rank recurrent neural networks
work_c9bf6cbc3f5f5e1f,2026.0,,vEMINR: Ultra‐Fast Isotropic Reconstruction for Volume Electron Microscopy With Implicit Neural Representation
work_ca8ca78f7057ee3b,2011.0,graph_analysis;modeling,Modelling human connectome development: precursors to neural circuits
work_cc91c8e0ef1cec88,2017.0,,Connectomics and other novel methods for examining neural systems.
work_ccbaaa9ecd746d77,2017.0,,Fragile X Mental Retardation Protein Requirements in Activity-Dependent Critical Period Neural Circuit Refinement
work_cdaba67073fdedc2,2012.0,graph_analysis,Identifying behavioral circuits in Drosophila melanogaster: Moving targets in a flying insect
work_ce3ce4f931b86f19,2011.0,,On the Estimation of Population-Specific Synaptic Currents from Laminar Multielectrode Recordings
work_ce404f1256e58715,2019.0,,The hippocampus of birds in a view of evolutionary connectomics.
work_cf6c526fb507888e,2023.0,,Advanced Immunolabeling Method for Optical Volumetric Imaging Reveals Dystrophic Neurites of Dopaminergic Neurons in Alzheimer’s D
work_cf8597f57b9fa631,2019.0,,Reprint of: Mapping human brain lesions and their functional consequences
work_d14875b87853734d,2022.0,graph_analysis,Mapping brain-wide excitatory projectome of primate prefrontal cortex at submicron resolution and comparison with diffusion tracto
work_d1b5cbfd0840a3bb,2017.0,,Optogenetic Mapping of Synaptic Connections in Mouse Brain Slices to Definethe Functional Connectome of Identified Neuronal Popula
work_d1c176b87a4825be,2019.0,infrastructure,Millisecond two-photon optical ribbon imaging for small-animal functional connectome study.
work_d2aa9ba75c9f5683,2019.0,,Surfaceome dynamics during neuronal development and synaptic plasticity reveal system-wide surfaceome reorganization independent o
work_d3a28ecbfb6e7ac0,2017.0,graph_analysis,Methods to investigate the structure and connectivity of the nervous system
work_d4e79c82413eec90,2018.0,graph_analysis,On the number of limit cycles in asymmetric neural networks
work_d6ca901bd9155e1a,2026.0,,Learning using switching synaptic plasticity rules
work_d877a14b14e535c5,2026.0,modeling,Brain network dynamics determine tau presence while regional vulnerability governs tau load in Alzheimer’s disease
work_d9b7b7ed16c392bd,2023.0,graph_analysis;modeling,Inferring Causality from Time Series data based on Structural Causal Model and its application to Neural Connectomics
work_dae60e0b7681ea0c,2024.0,,Strategies to dissect microglia-synaptic interactions during aging and in Alzheimer's disease.
work_dbf620e436498336,2020.0,graph_analysis,Mesoscopic architecture enhances communication across the macaque connectome revealing structure-function correspondence in the br
work_de58c22dcfdaa6ef,2021.0,graph_analysis,Hierarchical timescales in the neocortex: Mathematical mechanism and biological insights
work_e00aa02a171f6969,2018.0,graph_analysis,The Nomenclature of Human White Matter Association Pathways: Proposal for a Systematic Taxonomic Anatomical Classification
work_e19cbdf063fc53c2,2026.0,graph_analysis;infrastructure,Biologically grounded on-chip model identifies selective topographic reorganization within hyperexcitable corticostriatal networks
work_e1dcb9a05897ad2e,2021.0,graph_analysis,Interpreting the Entire Connectivity of Individual Neurons in Micropatterned Neural Culture With an Integrated Connectome Analyzer
work_e2c6961ec9c7fead,2024.0,,NPY-mediated synaptic plasticity in the extended amygdala prioritizes feeding during starvation
work_e2cbde329dc5c463,2018.0,,A Review of Network Inference Techniques for Neural Activation Time Series
work_e92f9c9a00060515,2017.0,graph_analysis,Cortical Circuits from Scratch: A Metaplastic Architecture for the Emergence of Lognormal Firing Rates and Realistic Topology
work_ed1105fea494cf4f,2024.0,graph_analysis,Where Top-Down Meets Bottom-Up: Cell-Type Specific Connectivity Map of the Whisker System
work_eeb0c8d7348a2bd4,2025.0,,Contribution of neurons that express fruitless and Clock transcription factors to behavioral rhythms and courtship
work_f0afa8050fa1b3ad,2020.0,,Analysis of Synaptic Microcircuits in the Mushroom Bodies of the Honeybee
work_f32b6d4440c563fd,2023.0,,Brain Structure and Function: Insights from Chemical Neuroanatomy
work_f3534e571d79cff0,2014.0,graph_analysis;infrastructure,Self-organization of microcircuits in networks of neurons with plastic synapses
work_f4bec50e6c6ea50f,2011.0,graph_analysis,Optimizing the Quantity/Quality Trade-Off in Connectome Inference
work_f568e1792e2e09e3,2002.0,,Regulation of Synaptic Connectivity: Levels of Fasciclin II Influence Synaptic Growth in the Drosophila CNS
work_f7d82000e0d7fff7,2020.0,graph_analysis;modeling,Neuro-PC: Causal Functional Connectivity from Neural Dynamics
work_f7de2c7e522ececa,2020.0,,Synapse type-specific proteomic dissection identifies IgSF8 as a hippocampal CA3 microcircuit organizer
work_f9c6ae5203a2fdaf,2021.0,graph_analysis,Frozen algorithms: how the brain's wiring facilitates learning
work_f9de684616d77e52,2019.0,,Multimodal cell type correspondence by intersectional mFISH in intact tissues
work_fbb0bef8a2519be4,2012.0,graph_analysis;infrastructure;modeling,An open architecture for the massively parallel emulation of the Drosophila brain on multiple GPUs
work_fc4395dbd3ff1652,2022.0,,Networking of the Human Cerebellum: From Anatomo-Functional Development to Neurosurgical Implications
work_fcbe6f1bc002cc56,2023.0,,Modulation of aversive value coding in the vertebrate and invertebrate brain.
work_ff7b8e3b7dee18f2,2020.0,infrastructure,Drosophila Brain Functional Data Analysis: A Unified Framework
