work_id,doi,title,year,era,time_role,in_degree,out_degree,k_core,year_cites_percentile,cites,in_core,decision,datasets,stages,organism,axis,method,abstract_missing,tag_source,why,in_global_core,stratum_champion_cells,added_for_coverage
work_4396bf2e9890909a,10.1101/006353,The natverse: a versatile computational toolbox to combine and analyse neuroanatomical data,2014,2010–2015,history,4,9,13,46,28,1,adjacent_relevant,,alignment;infrastructure;graph_analysis,fly,pipeline_stage,natverse;electron microscopy,false,dryrun+title_abstract_organism+stages+title_abstract,history_milestone,yes,method:natverse|2010–2015,
work_4422d2e92d67043e,10.1016/j.cag.2025.104391,"Deep learning for brain electron microscopy segmentation: Advances, challenges, and future directions in connectomics and ultrastructure analysis",2025,2025,,1,33,13,76,6,0,adjacent_relevant,,segmentation;proofreading;infrastructure;graph_analysis,,pipeline_stage,U-Net;electron microscopy,false,dryrun+stages+title_abstract,unproven_2025_low_inout,,stage:graph_analysis|2025;method:U-Net|2025,yes
work_4514cd847994dcc7,10.1101/2020.12.08.413955,A connectome of the Drosophila central complex reveals network motifs suitable for flexible navigation and context-dependent action selection,2020,2020–2021,history,59,29,13,99,332,1,core_relevant,,graph_analysis,fly,pipeline_stage,Network motifs;electron microscopy,false,dryrun+title_abstract_organism+stages+title_abstract,history_milestone,yes,method:Network motifs|2020–2021,
work_4763c86ef9823a58,10.1101/2020.04.17.047167,Structured sampling of olfactory input by the fly mushroom body,2020,2020–2021,history,18,22,13,83,71,1,core_relevant,,preparation;modeling,fly,pipeline_stage,electron microscopy,false,dryrun+title_abstract_organism+stages+title_abstract,history_milestone,yes,,
work_4888d0293b40ce35,10.1016/j.conb.2019.07.007,Constraining computational models using electron microscopy wiring diagrams.,2019,2018–2019,history,9,9,13,57,25,1,adjacent_relevant,,graph_analysis;modeling,,pipeline_stage,electron microscopy,false,dryrun+stages+title_abstract,history_milestone,yes,stage:modeling|2018–2019,
work_4d88921e492f9434,10.3389/fninf.2022.896292,neuPrint: An open access tool for EM connectomics,2022,2022–2023,history,32,17,13,93,78,1,core_relevant,,infrastructure;graph_analysis,,pipeline_stage,neuPrint;electron microscopy,false,dryrun+stages+registry+title_abstract,history_milestone,yes,stage:infrastructure|2022–2023;method:neuPrint|2022–2023,
work_4f923dc785f0b321,10.1038/s41586-020-03134-2,Structure and function of a neocortical synapse,2019,2018–2019,history,30,9,13,96,188,1,core_relevant,DS01 C. elegans (White+),graph_analysis,elegans,pipeline_stage,electron microscopy,false,dryrun+dataset_organism+stages+title_abstract,history_milestone,yes,,
work_4fa3a9808ba6a3df,10.1016/j.crmeth.2025.100988,Comparative prospects of imaging methods for whole-brain mammalian connectomics,2024,2024,,1,28,13,45,5,0,adjacent_relevant,,,mouse,,light-sheet;electron microscopy,false,title_abstract_organism+title_abstract,unproven_2024_low_inout,,axis:untagged|2024;method:light-sheet|2024,yes
work_4fbc226ee1288c01,10.3389/fncir.2023.952921,mEMbrain: an interactive deep learning MATLAB tool for connectomic segmentation on commodity desktops,2023,2022–2023,history,10,30,13,70,13,1,core_relevant,,segmentation;proofreading;graph_analysis;acquisition,,pipeline_stage,VAST;volume EM,false,dryrun+title_abstract+stages+title_abstract,history_milestone,yes,method:VAST|2022–2023,
work_542d289b1df8abc6,10.1101/2023.06.05.543757,A Connectome of the Male Drosophila Ventral Nerve Cord,2023,2022–2023,history,37,12,13,99,88,1,core_relevant,DS07 VNC (FANC/MANC),graph_analysis;acquisition,fly,pipeline_stage,volume EM,false,dryrun+title_abstract+dataset_organism+stages+title_abstract,history_milestone,yes,stage:acquisition|2022–2023;dataset:DS07 VNC (FANC/MANC)|2022–2023,
work_55a31c8884d2dba2,10.1101/2023.01.23.525290,Cell-type-specific inhibitory circuitry from a connectomic census of mouse visual cortex,2023,2022–2023,history,11,28,13,91,35,1,core_relevant,,segmentation;graph_analysis,mouse,pipeline_stage,electron microscopy,false,dryrun+title_abstract_organism+stages+title_abstract,history_milestone,yes,organism:mouse|2022–2023,
work_579bab55f1835737,10.1016/j.biopsych.2023.01.025,Immersion fixation and staining of multi-cubic millimeter volumes for electron microscopy-based connectomics of human brain biopsies,2023,2022–2023,history,13,12,13,87,27,1,core_relevant,DS13 MICrONS,preparation,human,pipeline_stage,electron microscopy,false,dryrun+title_abstract_organism_overrides_dryrun+stages+title_abstract,history_milestone,yes,stage:preparation|2022–2023;dataset:DS13 MICrONS|2022–2023,
work_5a5bf6e6db192920,10.1101/2023.06.27.546055,A consensus cell type atlas from multiple connectomes reveals principles of circuit stereotypy and variation,2023,2022–2023,history,12,14,13,99,78,1,core_relevant,DS05 hemibrain;DS06 FlyWire,proofreading;infrastructure,fly,pipeline_stage,FlyWire,false,dryrun+dataset_organism+stages+title_abstract,history_milestone,yes,dataset:DS06 FlyWire|2022–2023;dataset:DS05 hemibrain|2022–2023;method:FlyWire|2022–2023,
work_5aef76fa06c704a5,10.3389/fncir.2018.00094,A Pipeline for Volume Electron Microscopy of the Caenorhabditis elegans Nervous System,2018,2018–2019,history,9,22,13,67,48,1,core_relevant,DS01 C. elegans (White+),graph_analysis;acquisition,elegans,pipeline_stage,volume EM,false,dryrun+title_abstract+dataset_organism+stages+title_abstract,history_milestone,yes,,
work_5b4312b985894934,10.1016/j.neuron.2010.08.014,Ultrastructural analysis of hippocampal neuropil from the connectomics perspective,2010,2010–2015,history,74,7,13,81,303,1,core_relevant,,sectioning;acquisition,other,pipeline_stage,ssTEM;serial-section EM,false,dryrun+title_abstract_organism+stages+title_abstract,history_milestone,yes,stage:sectioning|2010–2015;organism:other|2010–2015;method:ssTEM|2010–2015;method:serial-section EM|2010–2015,
work_5c2378945eccb27f,10.1038/nature12346,Connectomic reconstruction of the inner plexiform layer in the mouse retina,2013,2010–2015,history,52,1,13,98,988,1,core_relevant,DS09/DS10 mouse retina,sectioning;acquisition;segmentation;proofreading;graph_analysis,mouse,pipeline_stage,SBF-SEM,false,dryrun+dataset_organism+stages+title_abstract,history_milestone,yes,stage:segmentation|2010–2015;dataset:DS09/DS10 mouse retina|2010–2015;method:SBF-SEM|2010–2015,
work_5c9f2aea432a60e2,10.1111/cgf.14574,A Survey of Visualization and Analysis in High‐Resolution Connectomics,2022,2022–2023,history,13,26,13,74,30,1,adjacent_relevant,,acquisition;segmentation;proofreading;graph_analysis,,pipeline_stage,,false,dryrun+stages,history_milestone,yes,,
work_6068f1e615a91237,10.1016/j.neuron.2019.10.031,A Genetic Model of the Connectome,2019,2018–2019,history,17,22,13,80,56,1,core_relevant,,infrastructure;graph_analysis,,pipeline_stage,Network motifs,false,dryrun+stages+title_abstract,history_milestone,yes,method:Network motifs|2018–2019,
work_68c16753f9b50e6c,10.1101/2024.06.04.596633,Comparative connectomics of the descending and ascending neurons of the Drosophila nervous system: stereotypy and sexual dimorphism,2024,2024,sota,8,17,13,81,17,1,core_relevant,DS07 VNC (FANC/MANC),proofreading,fly,pipeline_stage,electron microscopy,false,dryrun+dataset_organism+stages+title_abstract,sota_2024_out_and_in,yes,,
work_69a812a079debc62,10.1038/s41592-024-02426-z,CAVE: Connectome Annotation Versioning Engine,2025,2025,sota,8,37,13,98,55,1,core_relevant,DS13 MICrONS,segmentation;proofreading;infrastructure,mouse,pipeline_stage,CAVE / PyChunkedGraph;electron microscopy,false,dryrun+dataset_organism+stages+registry+title_abstract,sota_2025_out_and_in,yes,axis:pipeline_stage|2025;stage:segmentation|2025;stage:proofreading|2025;stage:infrastructure|2025;organism:mouse|2025;dataset:DS13 MICrONS|2025;method:CAVE / PyChunkedGraph|2025,
work_6c16ccac03d903e6,10.1038/nmeth.4206,Automated synaptic connectivity inference for volume electron microscopy,2017,2016–2017,history,24,4,13,78,138,1,core_relevant,DS15 zebrafish;DS19 songbird,sectioning;proofreading;infrastructure;graph_analysis;acquisition,zebrafish;other,pipeline_stage,SyConn;SBF-SEM,false,dryrun+title_abstract+dataset_organism+stages+registry+title_abstract,history_milestone,yes,organism:zebrafish|2016–2017;dataset:DS15 zebrafish|2016–2017;method:SyConn|2016–2017,
work_6c78664b0abdcff2,10.64898/2026.02.25.708065,A multi-resolution imaging and analysis pipeline for comparative circuit reconstruction in insects,2026,2026,sota,1,20,13,77,1,1,core_relevant,,preparation;acquisition;alignment;segmentation;proofreading;synapses;infrastructure,,pipeline_stage,CATMAID,false,dryrun+stages+title_abstract,sota_2026_out,yes,stage:synapses|2026;method:CATMAID|2026,
work_6cb6b38366a67f63,10.1162/netn_a_00428,Combined topological and spatial constraints are required to capture the structure of neural connectomes,2024,2024,sota,3,25,13,75,13,1,core_relevant,,infrastructure;graph_analysis,fly,pipeline_stage,,false,dryrun+title_abstract_organism+stages,sota_2024_out_and_in,yes,stage:infrastructure|2024,
work_6db95f64553b035d,10.1038/s41592-022-01621-0,Automated synapse-level reconstruction of neural circuits in the larval zebrafish brain,2022,2022–2023,history,20,22,13,96,95,1,core_relevant,DS15 zebrafish,sectioning;acquisition;segmentation;synapses,zebrafish,pipeline_stage,SBF-SEM;Flood-filling networks;two-photon,false,dryrun+dataset_organism+stages+title_abstract,history_milestone,yes,stage:segmentation|2022–2023;stage:sectioning|2022–2023;stage:synapses|2022–2023;organism:zebrafish|2022–2023;dataset:DS15 zebrafish|2022–2023;method:two-photon|2022–2023;method:Flood-filling networks|2022–2023;method:SBF-SEM|2022–2023,
work_6f86d20c9bf6e84d,10.1038/s41586-024-07686-5,Whole-brain annotation and multi-connectome cell typing of Drosophila,2024,2024,sota,41,18,13,99,291,1,core_relevant,DS05 hemibrain;DS06 FlyWire,proofreading;infrastructure,fly,pipeline_stage,FlyWire,false,dryrun+dataset_organism+stages+title_abstract,sota_2024_out_and_in,yes,dataset:DS05 hemibrain|2024,
work_7047d97957cd06a4,10.1101/2021.08.19.456845,Connectomic features underlying diverse synaptic connection strengths and subcellular computation,2021,2020–2021,history,14,19,13,74,32,1,core_relevant,,graph_analysis;modeling,fly,pipeline_stage,electron microscopy,false,dryrun+title_abstract_organism+stages+title_abstract,history_milestone,yes,,
work_726c0c1ef7c520da,10.3389/fncir.2018.00101,"NeuTu: Software for Collaborative, Large-Scale, Segmentation-Based Connectome Reconstruction",2018,2018–2019,history,18,7,13,64,45,1,core_relevant,,segmentation;proofreading;infrastructure,,pipeline_stage,DVID;electron microscopy,false,dryrun+stages+title_abstract,history_milestone,yes,,
work_73f655c300b2c7a4,10.3389/fnana.2018.00095,"Verifying, Challenging, and Discovering New Synapses Among Fully EM-Reconstructed Neurons in the Leech Ganglion",2018,2018–2019,history,0,23,13,11,3,1,core_relevant,,sectioning;synapses,,pipeline_stage,SBF-SEM,false,dryrun+stages+title_abstract,history_milestone,yes,,
work_75371f7313f33c66,10.1038/s41583-025-00998-z,Synaptic-resolution connectomics: towards large brains and connectomic screening,2025,2025,sota,5,35,13,87,12,1,adjacent_relevant,,,mouse,,volume EM,false,title_abstract_organism+title_abstract,sota_2025_out_and_in,yes,axis:untagged|2025,
work_7773a3cd24b3497d,10.7554/elife.57443,A connectome and analysis of the adult Drosophila central brain,2020,2020–2021,history,98,16,13,100,900,1,core_relevant,,segmentation;proofreading;graph_analysis,fly,pipeline_stage,,false,dryrun+title_abstract_organism+stages,history_milestone,yes,,
work_796386b4ebec693b,10.7554/elife.16962,The CNS connectome of a tadpole larva of Ciona intestinalis (L.) highlights sidedness in the brain of a chordate sibling,2016,2016–2017,history,26,3,13,87,246,1,core_relevant,DS20 Ciona,sectioning;graph_analysis,other,pipeline_stage,,false,dryrun+dataset_organism+stages,history_milestone,yes,dataset:DS20 Ciona|2016–2017,
work_7afda5ab9166c6fb,10.1038/nature09802,Network anatomy and in vivo physiology of visual cortical neurons,2011,2010–2015,history,54,1,13,100,889,1,core_relevant,,graph_analysis,mouse,pipeline_stage,TEMCA camera-array ssTEM;two-photon;electron microscopy,false,dryrun+title_abstract_organism+stages+registry+title_abstract,history_milestone,yes,method:TEMCA camera-array ssTEM|2010–2015,
work_7b437ce3ba4d27c5,10.1038/s41592-018-0049-4,High-precision automated reconstruction of neurons with flood-filling networks,2017,2016–2017,history,60,5,13,94,382,1,core_relevant,DS19 songbird,sectioning;segmentation;proofreading;acquisition,other,pipeline_stage,Flood-filling networks;SBF-SEM,false,dryrun+title_abstract+dataset_organism+stages+registry+title_abstract,history_milestone,yes,stage:segmentation|2016–2017;organism:other|2016–2017;dataset:DS19 songbird|2016–2017;method:SBF-SEM|2016–2017;method:Flood-filling networks|2016–2017,
work_7bd29d9809ae56eb,10.1038/ncomms8923,Large-volume en-bloc staining for electron microscopy-based connectomics,2015,2010–2015,history,20,1,13,83,274,1,core_relevant,,preparation;graph_analysis,mouse,pipeline_stage,Large-volume en-bloc staining (rOTO),false,dryrun+title_abstract_organism+stages+methods_registry,history_milestone,yes,method:Large-volume en-bloc staining (rOTO)|2010–2015,
work_7bf4cfb87937a38b,10.64898/2026.07.09.737432,Learning the wiring rules of a mammalian cortical column,2026,2026,sota,0,21,13,35,0,1,adjacent_relevant,,preparation;infrastructure;graph_analysis,mouse,pipeline_stage,Network motifs,false,dryrun+title_abstract_organism+stages+title_abstract,sota_2026_out,yes,stage:preparation|2026;organism:mouse|2026,
work_7c9431dcfcc3ff31,10.1038/nmeth.4331,webKnossos: efficient online 3D data annotation for connectomics,2017,2016–2017,history,22,3,13,82,180,1,core_relevant,,proofreading,,pipeline_stage,webKnossos;volume EM,false,dryrun+stages+registry+title_abstract,history_milestone,yes,method:webKnossos|2016–2017,
work_7ee1f288ebd5d281,10.1038/nature17192,Anatomy and function of an excitatory network in the visual cortex,2016,2016–2017,history,101,8,13,97,486,1,core_relevant,,,mouse,,electron microscopy,false,title_abstract_organism+title_abstract,history_milestone,yes,axis:untagged|2016–2017;organism:mouse|2016–2017,
work_7f1202eef0e8289e,10.7554/elife.26414,"SynEM, automated synapse detection for connectomics",2017,2016–2017,history,33,16,13,63,64,1,core_relevant,,preparation;segmentation;proofreading;synapses,,pipeline_stage,SynEM;Large-volume en-bloc staining (rOTO),false,dryrun+stages+registry+title_abstract,history_milestone,yes,stage:preparation|2016–2017;method:SynEM|2016–2017;method:Large-volume en-bloc staining (rOTO)|2016–2017,
work_7fd39b6d64027898,10.1038/s41592-025-02929-3,SmartEM: machine-learning guided electron microscopy,2025,2025,,0,18,13,61,3,0,core_relevant,DS01 C. elegans (White+),acquisition;segmentation,mouse,pipeline_stage,SmartEM ML-guided acquisition,false,dryrun+title_abstract_organism_overrides_dryrun+stages+methods_registry,unproven_2025_low_inout,,dataset:DS01 C. elegans (White+)|2025;method:SmartEM ML-guided acquisition|2025,yes
work_8347b1b95882d657,10.7554/elife.71981,Partial connectomes of labeled dopaminergic circuits reveal non-synaptic communication and axonal remodeling after exposure to cocaine,2021,2020–2021,history,4,20,13,72,29,1,core_relevant,,,mouse,,electron microscopy,false,title_abstract_organism+title_abstract,history_milestone,yes,,
work_8443aa3a33e10095,10.7554/elife.88824,The unique synaptic circuitry of specialized olfactory glomeruli in Drosophila melanogaster,2025,2025,sota,3,29,13,73,5,1,core_relevant,,sectioning;acquisition;graph_analysis,fly,pipeline_stage,FIB-SEM,false,dryrun+title_abstract_organism+stages+title_abstract,sota_2025_out_and_in,yes,stage:acquisition|2025;stage:sectioning|2025;organism:fly|2025;method:FIB-SEM|2025,
work_86ba4bfd64350171,10.1038/s41586-024-07558-y,Neuronal wiring diagram of an adult brain,2024,2024,sota,61,49,13,99,242,1,core_relevant,DS06 FlyWire,proofreading;graph_analysis,fly,pipeline_stage,FlyWire;electron microscopy,false,dryrun+dataset_organism+stages+title_abstract,sota_2024_out_and_in,yes,axis:pipeline_stage|2024;stage:graph_analysis|2024;stage:proofreading|2024;organism:fly|2024;dataset:DS06 FlyWire|2024;method:FlyWire|2024,
work_86c1f0dec2fe2b88,10.1101/2020.01.20.912709,"Connectomics Analysis Reveals First-, Second-, and Third-Order Thermosensory and Hygrosensory Neurons in the Adult Drosophila Brain",2020,2020–2021,history,19,8,13,85,89,1,core_relevant,,graph_analysis,fly,pipeline_stage,electron microscopy,false,dryrun+title_abstract_organism+stages+title_abstract,history_milestone,yes,,
work_8cba212f6e7b83ad,10.1016/j.cell.2018.06.019,A Complete Electron Microscopy Volume of the Brain of Adult Drosophila melanogaster,2017,2016–2017,history,90,10,13,99,911,1,core_relevant,,proofreading;infrastructure,fly,pipeline_stage,electron microscopy,false,dryrun+title_abstract_organism+stages+title_abstract,history_milestone,yes,axis:pipeline_stage|2016–2017;stage:infrastructure|2016–2017;stage:proofreading|2016–2017;organism:fly|2016–2017,
work_8eb544cf75eb1e58,10.1242/jeb.164954,Of what use is connectomics? A personal perspective on the Drosophila connectome,2018,2018–2019,history,21,13,13,69,49,1,role_bridge,DS03 Drosophila larva,sectioning;acquisition;alignment;segmentation,fly,pipeline_stage,FIB-SEM,false,dryrun+dataset_organism+stages+title_abstract,history_milestone,yes,stage:alignment|2018–2019;organism:fly|2018–2019;dataset:DS03 Drosophila larva|2018–2019;method:FIB-SEM|2018–2019,
work_8fd725d2118803e2,10.1038/s41467-020-18659-3,A petascale automated imaging pipeline for mapping neuronal circuits with high-throughput transmission electron microscopy,2019,2018–2019,history,17,6,13,93,133,1,core_relevant,DS13 MICrONS,acquisition,mouse,pipeline_stage,TEM,false,dryrun+dataset_organism+stages+title_abstract,history_milestone,yes,dataset:DS13 MICrONS|2018–2019;method:TEM|2018–2019,
