work_id,canonical_paper_id,source_group,version_count,member_paper_ids,title,model,prompt_version,run_mode,prompt_sha256,adjudication_batch,decision,roles,confidence,evidence,reason,noise_flags,human_review_priority,human_review_reason
work_00ae585671725ab5,0620d9b5c6267e43fca0b6442ad4abe7c0eab06d,unresolved,1,0620d9b5c6267e43fca0b6442ad4abe7c0eab06d,Assessment of the structural brain network reveals altered connectivity in children with unilateral cerebral palsy due to periventricular white matter lesions,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,f5d4804520fd352d2a02e61d225a715c73fd2e8d6728284663feb195cd5e6da7,batch_000,out_of_scope,"['network_science', 'health_translation']",0.94,Diffusion MRI and tractography; Connectomes were calculated using whole-brain probabilistic tractography,dMRI tractography connectomes in cerebral palsy.,['diffusion_mri_or_tractography'],False,
work_00c9ebcec8853471,b52e2799275380196737cada3c71960588a747ea,core_audit,1,b52e2799275380196737cada3c71960588a747ea,Physical contact reveals a hidden layer of cortical architecture,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,b4c6195f1d23373d4dd14f768e3453c8df65359763de6fe4fa5678c96e8081c3,batch_000,core_relevant,"['reconstruction_segmentation', 'network_science', 'biological_application']",0.96,extract contactomes from two large mouse visual cortex volumes at nanoscale resolution; relationship between contact and synaptic connectivity,Nanoscale contactome analysis of EM cortex volumes beyond synaptic graphs.,[],False,
work_00d72fd3c4223cd5,be364e55460008d9584e163bff599784f242e851,core_audit,1,be364e55460008d9584e163bff599784f242e851,Distributed control circuits across a brain-and-cord connectome.,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,608d0764419b1c041fc943fa3a2d41fa81794a816c97673e1c3cb9c7b6b88793,batch_000,core_relevant,"['reconstruction_segmentation', 'biological_application', 'network_science']",0.97,first densely-reconstructed adult fly connectome that unites the brain and ventral nerve cord; maps of neurons and synapses,Dense reconstructed fly brain–cord synaptic connectome.,[],False,
work_00f9b510d0a91b47,21ef3f6209d8baf1adb4fecd112534df5d1dc8b1,core_audit,1,21ef3f6209d8baf1adb4fecd112534df5d1dc8b1,Detecting Synapse Location and Connectivity by Signed Proximity Estimation and Pruning with Deep Nets,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,c01b90fa89567cb7487f68eb589ee44dbfc170ab98f5552861fdfad89c8d812e,batch_000,core_relevant,"['synapse_inference', 'reconstruction_segmentation']",0.95,Synaptic connectivity detection ... neural reconstruction from Electron Microscopy (EM) data,EM synapse location/direction detection with deep nets.,[],False,
work_011475673eca9ed2,701c02daef646b0276f37a81336f559350232cd1,role_bridge,1,701c02daef646b0276f37a81336f559350232cd1,Co-expression network architecture reveals the brain-wide and multi-regional basis of disease susceptibility,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,36cf20e21fd7f0a6bedadfcb952808b548231ecbea53ef92ed40cac35ccffea2,batch_000,out_of_scope,"['network_science', 'biological_application']",0.88,brain-wide coexpression modules; coexpression and gene regulatory networks,"Gene co-expression networks, not neural connectomics.",['generic_network_neuroscience'],False,
work_01272aa884a225e5,0a67b7954e3cf0e46d1bf271cc9b7cf90e8d0574,unresolved,1,0a67b7954e3cf0e46d1bf271cc9b7cf90e8d0574,Quantification of Structural Brain Connectivity via a Conductance Model,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,31fa14c0a8bd7d47c8a9b63fd831b6959f7107514b696213b5b4e2f455440898,batch_000,out_of_scope,['network_science'],0.93,structural connectivity measure from diffusion MRI; Human Connectome Project dataset,dMRI structural connectivity measure vs functional connectivity.,['diffusion_mri_or_tractography'],False,
work_0128137052dec3e0,529dced83d9366301577eec26503d894116c54f5,core_audit,1,529dced83d9366301577eec26503d894116c54f5,Functional Synaptic Interactions and Inhibitory Circuitry of the PreBötzinger Complex in the Rhythmic Slice,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,4eec9a769f3666ca298c0497ebddc92911d1c85955a2cc0020642eb1245f2580,batch_000,adjacent_relevant,"['biological_application', 'network_science']",0.7,functional inhibitory connectome; synaptic conductance inference ... whole-cell recordings; synaptic interactions,"Electrophysiological synaptic circuit mapping in preBötC—synaptic-resolution physiology, not EM reconstruction.",[],True,low_confidence
work_012be88ea3831319,b5df7b8a82afe54fa28c6a455689bd50861b7987,unresolved,1,b5df7b8a82afe54fa28c6a455689bd50861b7987,Connectome spectral analysis to track EEG task dynamics on a subsecond scale,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,8cfd7557dc63b512264321f66ce490a0dc80ff200884557160e4e3d77bae8198,batch_000,out_of_scope,['network_science'],0.9,white matter connectivity data with source-projected electroencephalographic (EEG) data; brain structural connectivity graph,Macroscale structure–EEG graph signal processing.,['generic_network_neuroscience'],False,
work_0133b141f368655b,7d7299ee6cf7269421b72069de3c2c7ba586d4ab,role_bridge,1,7d7299ee6cf7269421b72069de3c2c7ba586d4ab,Combining collation and annotation efforts toward completion of the rat and mouse connectomes in BAMS,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,3ddafd2871b000296d7380b10d4afab09e8035b9f12f80969d0af2f80b91b7c9,batch_000,role_bridge,['infrastructure'],0.75,Brain Architecture Knowledge Management System (BAMS); constructing interrelated connectomes; large-scale connection matrices,"Neuroinformatics/annotation infrastructure for mammalian macroconnectomes—role bridge, not nanoscale core.",['mesoscale_only'],True,low_confidence
work_013d09cdbefdf588,26306e84cea4d2afa3aeebb3c3e8e0214b462c52,unresolved,1,26306e84cea4d2afa3aeebb3c3e8e0214b462c52,Functional connectivity in ADHD children doing Go/No-Go tasks: An fMRI systematic review and meta-analysis,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,e55d728bf697698293a28007419a387893a3bd73979d291e63f409ac7fc857bf,batch_000,out_of_scope,"['network_science', 'health_translation']",0.93,Go/No-Go task-based fMRI; functional connectivity; Human Connectome Project,fMRI activation/connectivity meta-analysis in ADHD.,['resting_state_or_functional_connectivity'],False,
work_0159d70a05ed78c5,ebbb825e632194283d6b826c1181e82a57313b39,unresolved,1,ebbb825e632194283d6b826c1181e82a57313b39,Connectome embedding in multidimensional graph spaces,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,b9088b2653102cb1a042caf3bafa97110d83c49c9fe7c48245a411b7244818b2,batch_000,out_of_scope,['network_science'],0.9,"Human Connectome Project; structural/functional, binary/weighted connectomes; graph theory",Graph-embedding of HCP MRI connectomes.,['generic_network_neuroscience'],False,
work_018899d6d1730a95,f4130869397fe119cbc5f9e81f87049a05b3f0fd,unresolved,1,f4130869397fe119cbc5f9e81f87049a05b3f0fd,Psychological resilience and neurodegenerative risk: A connectomics-transcriptomics investigation in healthy adolescent and middle-aged females,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,8db1389bfa094d56506e57556b2572a3e25f7040163e3b097758ea580089ec04,batch_000,out_of_scope,"['network_science', 'health_translation']",0.88,Lifespan Human Connectome Project (HCP); multimodal imaging ... connectomics-transcriptomics,HCP MRI connectomics linked to resilience/AD risk—macroscale.,['generic_network_neuroscience'],False,
work_018e1bfdd5b1e0e2,387455a650c03d1a0b2d3c301c6a3e5aec93a38a,unresolved,1,387455a650c03d1a0b2d3c301c6a3e5aec93a38a,Reduced Fronto-Temporal and Limbic Connectivity in the 22q11.2 Deletion Syndrome: Vulnerability Markers for Developing Schizophrenia?,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,d37cc115c701afd45991412f3fcd498b1cc8e706dcf0ebf254a793de03b0a0db,batch_000,out_of_scope,"['network_science', 'health_translation']",0.93,Diffusion Tensor Imaging; deterministic tractography; white matter streamlines,DTI structural connectivity in 22q11DS.,['diffusion_mri_or_tractography'],False,
work_01a371d322fa7848,0ca01e9a1670ec8571bbb367df253715093b201f,core_audit,1,0ca01e9a1670ec8571bbb367df253715093b201f,Optical Imaging in Brainsmatics,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,05f01efad07a18fa192e9506d76c21ddebfcb5581b11424f00be7f6b27693af1,batch_000,adjacent_relevant,"['acquisition_preparation', 'alternative_modality', 'infrastructure']",0.78,whole-brain connectome in consistent single-neuron resolution; optical imaging ... tracing and surveying,Optical brainsmatics for single-neuron-resolution whole-brain connectivity—adjacent modality to EM core.,[],True,low_confidence
work_01a98f721c115b3c,22ade92dc3207e51a9c47dbb3530c8977599500f,core_audit,1,22ade92dc3207e51a9c47dbb3530c8977599500f,Cortical microcircuit determination through global perturbation and sparse sampling in grid cells,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,841305ca62f83f1fccd94fb7a4acdf01b53d69b015241d355d1be96e8a213e41,batch_000,uncertain,"['structure_function_modeling', 'network_science']",0.5,cortical circuit; recurrent network mechanisms; sparse neural recordings of grid cells,Theoretical/perturbation strategy for cortical microcircuit mechanism—not clearly nanoscale connectomics.,[],True,core_noise_audit
work_01ba46e87d766569,00b6aed76647b6b7c8926a772b61cfa28ffb233a,role_bridge,1,00b6aed76647b6b7c8926a772b61cfa28ffb233a,Odor Discrimination as a Marker of Early Alzheimer’s Disease,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,57bddf678950f37f5f19ef624424c16cb1a3436a043cf13bfda444b44d5b8669,batch_000,out_of_scope,['health_translation'],0.9,odor discrimination tests; early Alzheimer’s disease; Sniffin’ Sticks,Clinical olfactory biomarker study without connectomics methods.,['generic_health_context'],False,
work_01bf84097a408914,bcaac2b6f229647eee74397b2c7e44b060399775,unresolved,1,bcaac2b6f229647eee74397b2c7e44b060399775,Bottom up modeling of the connectome: Linking structure and function in the resting brain and their changes in aging,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,4802391261ab1325351fd01880fb6b6675c1ac401af495ed3045fbcafc40e946,batch_000,out_of_scope,"['network_science', 'structure_function_modeling']",0.85,structural connectome; resting-state models; functional connectivity patterns,Modeling MRI resting-state dynamics from structural connectome.,['resting_state_or_functional_connectivity'],False,
work_01c85c45ede98837,9e87091fddaab35355ca7f7e50f5cc61782e1ffb,role_bridge,1,9e87091fddaab35355ca7f7e50f5cc61782e1ffb,VICE: Visual Identification and Correction of Neural Circuit Errors,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,5204060d9d7e0380ff1e70c46ea5472f0ec87e0ee3c97e14ec1c5a8f4f327251,batch_000,core_relevant,"['proofreading_qc', 'infrastructure']",0.94,electron microscopy (EM) datasets ... reconstructions of neurons possible at the nanometer scale; proofreading ... connectivity-related errors; synapse clustering,Interactive proofreading tool for EM neural circuit segmentation/connectivity errors.,[],False,
work_01d127caf246ac62,28314af555c67d79fa5d19f583abe3d1c64a80e5,unresolved,1,28314af555c67d79fa5d19f583abe3d1c64a80e5,A connectivity model of the anatomic substrates underlying ideomotor apraxia: A meta-analysis of functional neuroimaging studies.,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,a3256975da04730fb60544596c2b6a81c12bef0f70dab4505db32211faf6db5f,batch_000,out_of_scope,"['network_science', 'health_translation']",0.88,task-based fMRI; Human Connectome Project; deterministic tractography; white matter connectivity,Macroscale fMRI/tractography meta-analysis of ideomotor apraxia.,"['diffusion_mri_or_tractography', 'resting_state_or_functional_connectivity']",False,
work_01d80c94b77ef0f8,ea2666bb097f74bf6595a6bbaceae7a4272e5d31,unresolved,1,ea2666bb097f74bf6595a6bbaceae7a4272e5d31,Resolution and b value dependent structural connectome in ex vivo mouse brain,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,7ff91806581eb6c23c47e49c57cb42a845771ab58542223dab67e804b0691c7e,batch_000,out_of_scope,"['network_science', 'acquisition_preparation']",0.86,Diffusion magnetic resonance imaging; structural connectome in ex vivo mouse brain; tractography,High-resolution ex vivo mouse dMRI connectomics—not synaptic EM.,['diffusion_mri_or_tractography'],False,
work_01ded53be14a1a53,cc8839995d525a0852abc1857101ab21bbfd9284,unresolved,1,cc8839995d525a0852abc1857101ab21bbfd9284,Predicting regional neurodegeneration from the healthy brain functional connectome,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,ee57e111e744b5b6c13d0fbb02d7b6f7f2d92f4d668e829669fefc52465d2fa7,batch_000,out_of_scope,"['network_science', 'health_translation']",0.92,task-free fMRI; healthy intrinsic connectivity patterns; functional paths,fMRI functional connectome predicts neurodegeneration patterns.,['resting_state_or_functional_connectivity'],False,
work_01eb7cab7da8e82d,a983cb711769aa8d4bbb657f8bf925c2c2d447de,unresolved,1,a983cb711769aa8d4bbb657f8bf925c2c2d447de,Volume-based structural connectome of epilepsy partialis continua in Rasmussen’s encephalitis,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,2e62d2dfa49652dbcecec1b039ac7cc71fa1cda2e42e0170c66632c9c5fb3d90,batch_000,out_of_scope,"['network_science', 'health_translation']",0.9,volume-based structural covariant network; structural MRI; radiomics structural similarity network,Macroscale MRI structural covariance connectome in Rasmussen encephalitis.,['generic_network_neuroscience'],False,
work_01fc48c8442aa598,97bfc5a1af7a415bcce280e926eecdf6e6142e04,core_audit,1,97bfc5a1af7a415bcce280e926eecdf6e6142e04,Convergent developmental principles between Caenorhabditis elegans and human connectomes.,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,34300dc1bda9b87ab29da079c9fc01f1d521855d002fcba3a34e12ac3bc1ff51,batch_000,core_relevant,"['biological_application', 'network_science']",0.9,entire brain connectome for eight Caenorhabditis elegans; synapse changes shape the connectome topology,Commentary on developmental EM C. elegans brain connectomes.,[],False,
work_020893805fee7188,37aaa75946613d5c6e0674c244566965315f19ca,core_audit,1,37aaa75946613d5c6e0674c244566965315f19ca,The Connectome and the Quest for the Functional Logic of the Drosophila Early Olfactory System,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,0290edd84135a82a3a8ccd62a1429470e1d00284c9bd65c258964d6d09743cd9,batch_000,core_relevant,"['biological_application', 'structure_function_modeling', 'synapse_inference']",0.92,dense electron-microscopy connectomes; EOS connectome and synaptome datasets,Review of Drosophila early olfactory EM connectome/synaptome functional logic.,[],False,
work_020e3982c01153ed,4598ba49b4aa2f14e6b94f338b60b3476f0993d6,unresolved,1,4598ba49b4aa2f14e6b94f338b60b3476f0993d6,An efficient 3D extraction and reconstruction method for myelinated axons of mouse cerebral cortex based on mixed intelligence,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,7b7687adfd1fbc0e39ee9850bcaace09fb17f6e08b2e0825eba15ca09a7606ec,batch_000,adjacent_relevant,"['reconstruction_segmentation', 'alternative_modality']",0.72,3D morphology ... myelinated axons; mouse brain connectome; high-resolution X-ray microtomography,"Automated axon reconstruction for mouse connectomics via X-ray—related infrastructure/method, not synaptic EM core.",[],True,low_confidence
work_021d9ee89270f1a0,9cafebd86075f846efe31660eaa64d509a0c49b6,unresolved,1,9cafebd86075f846efe31660eaa64d509a0c49b6,Longitudinal evaluation of corticospinal tract in patients with resected brainstem cavernous malformations using high-definition fiber tractography and diffusion connectometry analysis: preliminary experience.,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,a62b7cde5c91db439b6d66af3339d7dfd2583f03e71fd74b03f7b3c3bb6aeb1f,batch_000,out_of_scope,"['network_science', 'health_translation']",0.92,high-definition fiber tractography; diffusion connectometry; white matter tracts,Clinical dMRI tractography of corticospinal tract.,['diffusion_mri_or_tractography'],False,
work_02298769657dd694,1f6eb30d764c0b3f2e1cd6133bef01d10778b299,unresolved,1,1f6eb30d764c0b3f2e1cd6133bef01d10778b299,Identifying Configurational Abnormalities in Alzheimer’S Disease Progression Using Multi-View Structure Connectome,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,57268a4f5d815b6302ec5bbb8374f3f14c82b33c8a7c2c5e2ae192f25f631d5f,batch_000,out_of_scope,"['network_science', 'health_translation']",0.9,"brain structural connectome, derived from whole-brain tractography using diffusion-weighted MRI",Multi-view dMRI structural connectomics in AD.,['diffusion_mri_or_tractography'],False,
work_022f4537397531be,dbdd12988bc177a269e23265f3026c878f8bafbc,role_bridge,1,dbdd12988bc177a269e23265f3026c878f8bafbc,"MagC, magnetic collection of ultrathin sections for volumetric correlative light and electron microscopy",agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,d705b320d4cfeab952f100abc5f9a9e3a9fdfda3c25914990929ac8e0576fbe3,batch_000,core_relevant,"['acquisition_preparation', 'infrastructure']",0.93,ultrathin sections onto silicon wafers; volumetric correlative light and electron microscopy; ultrastructural volumetric electron microscopy context,Magnetic collection of ultrathin sections enabling volumetric CLEM for EM connectomics workflows.,[],False,
work_0232d70eda88c6aa,c796914fb1e2b7b87aaaff7b7e99e7dc3679b1bc,unresolved,1,c796914fb1e2b7b87aaaff7b7e99e7dc3679b1bc,Objective markers for psychiatric decision-making: How to move imaging into clinical practice,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,02c43b4ca9cc2afb3aebf35d7951f4d5c991d3b9d3d9822078ebc0ceb9036ed5,batch_000,out_of_scope,"['health_translation', 'infrastructure']",0.88,neuroimaging as a pragmatic tool; human connectome project; resting state functional MRI,Opinion on moving psychiatric MRI biomarkers into clinic—not nanoscale connectomics.,"['generic_health_context', 'resting_state_or_functional_connectivity']",False,
work_02392b419d36af06,e4f1daf0ea1eacf3d2f8e53a23cc8017ba1809cc,unresolved,1,e4f1daf0ea1eacf3d2f8e53a23cc8017ba1809cc,Combined Model of Aggregation and Network Diffusion Recapitulates Alzheimer's Regional Tau-Positron Emission Tomography,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,46577f40a4f4f1b3e30d779aad6f2f0cc4282f775f6ad6866c675deaacc8a616,batch_000,out_of_scope,"['network_science', 'health_translation', 'structure_function_modeling']",0.85,networked spread; Network-Diffusion model; brain connectome; tau-Positron Emission Tomography,Macroscale network-diffusion modeling of tau pathology.,['generic_network_neuroscience'],False,
work_023fb337faef6b34,c50492b1f4e9dd22036d0ce705827e7815fbc71b,unresolved,1,c50492b1f4e9dd22036d0ce705827e7815fbc71b,Geometry-Guided Generative Representation for Functional Brain Graphs,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,f9686ff9d7f824d988792aa657559fc640e20174ba705635155e1409b6e0625b,batch_000,out_of_scope,['network_science'],0.88,"functional connectivity graphs; dense, weighted functional connectomes; unsupervised graph representation",Deep generative models of MRI functional brain graphs.,"['resting_state_or_functional_connectivity', 'generic_machine_learning']",False,
work_02580fc06dfe3e98,d27e3c0284b261d251c881155e780f1c939302c8,role_bridge,1,d27e3c0284b261d251c881155e780f1c939302c8,BigDataViewer: visualization and processing for large image data sets,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,,,insufficient_abstract,[],0.0,,No abstract after best-effort rescue; do not exclude from title alone.,[],True,uncertain_or_missing_abstract
work_025c5ef05489ba3c,c25bf596a3fb4466384c620e1d47b80a7447f517,core_audit,1,c25bf596a3fb4466384c620e1d47b80a7447f517,Diffusion MRI Connections in the Octopus Brain,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,8ba95e4a2a80dcfe358ae33c79a6c5fa7cd27029541b29c1da92c479436a8974,batch_000,out_of_scope,"['network_science', 'alternative_modality']",0.9,HARDI with fiber tractography; meso-scale connectome of the Octopus bimaculoides brain,"Mesoscale dMRI tractography octopus connectome, not nanoscale synaptic EM.","['diffusion_mri_or_tractography', 'mesoscale_only']",True,core_noise_audit
work_0278bad00a302fb7,72873f1a9faedf9f8825b30298d62d42ae2b0e64,core_audit,1,72873f1a9faedf9f8825b30298d62d42ae2b0e64,Cognitive synaptopathy: synaptic and dendritic spine dysfunction in age-related cognitive disorders,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,62806270de51952c311e7081a75f98ee486a52813016c861f1ff9bed3233a2e6,batch_000,adjacent_relevant,"['biological_application', 'health_translation']",0.68,synaptic and dendritic spine dysfunction; abnormal connectomics at the level of local neuronal circuits,"Review of synaptic/spine dysfunction in cognitive disorders—related synaptic biology, not EM connectomics core.",[],True,low_confidence
work_027b9355b833cd11,70409a1c38a8724baddff74319980c34cf0cc2da,unresolved,1,70409a1c38a8724baddff74319980c34cf0cc2da,Characterizing Continuous and Discrete Hybrid Latent Spaces for Structural Connectomes,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,dae11d350d09c1e3b10ff677e57fcf78e4476a1375b4ec15a06ef4a8a451009c,batch_000,out_of_scope,['network_science'],0.9,Structural connectomes ... Alzheimer's disease studies; BrainCOLOR atlas,Latent-space modeling of macroscale structural connectomes in AD cohorts.,"['diffusion_mri_or_tractography', 'generic_network_neuroscience']",False,
work_029643354bb1e658,921afa7c3d5eca429a5c65c2b651b8ea292ba6f9,core_audit,1,921afa7c3d5eca429a5c65c2b651b8ea292ba6f9,Untangling the cortico-thalamo-cortical loop: cellular pieces of a knotty circuit puzzle,agent:cursor/claude-opus-5-thinking,IA-007-v2-work-level,agent_offline,be19261ece4a3fa604ed13b1489eb6c53a3ab3f0ba5324fa983aad9fcaa4c0ca,batch_000,adjacent_relevant,"['biological_application', 'network_science']",0.7,synaptic connectivity in cortico-thalamo-cortical loops; cell type-specific synaptic connections,Review of CTC synaptic circuit organization—circuit neuroscience adjacent to but not nanoscale connectome mapping.,[],True,low_confidence
